City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,zhangye,38.9342,100.4517,292.21,27,100,2.07,CN,1686078557
315,quibdo,5.6947,-76.6611,303.9,65,76,1.47,CO,1686078558
316,oropesa del mar,40.1,0.15,296.98,70,100,3.14,ES,1686078558
317,fale old settlement,-9.3852,-171.2468,301.64,76,11,5.78,TK,1686078342
318,pemba,-12.974,40.5178,298.54,83,40,3.09,MZ,1686078558
319,holualoa,19.6228,-155.9522,298.46,77,20,4.63,US,1686078396
320,dadu,26.7329,67.7763,309.97,38,0,4.9,PK,1686078558
321,hurricane,37.1753,-113.2899,306.11,7,0,8.41,US,1686078558
322,tiruchchendur,8.4833,78.1167,303.29,70,100,5.36,IN,1686078559
323,soledade,-28.8183,-52.5103,294.36,60,0,1.42,BR,1686078156
324,vikindu,-7.0067,39.2985,295.08,92,0,2.66,TZ,1686078559
325,torzhok,57.0436,34.9622,284.35,76,8,2.33,RU,1686078559
326,mary,37.0,62.5,303.23,10,58,3.36,TM,1686078559
327,klyuchi,52.2667,79.1667,295.71,45,71,2.92,RU,1686078377
328,taounate,34.5,-4.8333,295.57,81,100,4.7,MA,1686078560
329,dalcahue,-42.3628,-73.7022,284.93,62,20,3.6,CL,1686078560
330,brookings,44.3114,-96.7984,305.42,39,20,3.09,US,1686078415
331,agat village,13.3886,144.6585,301.67,90,0,5.66,GU,1686078560
332,kone,-21.0595,164.8658,290.73,72,21,2.23,NC,1686078404
333,kulhudhuffushi,6.6221,73.07,302.14,79,48,7.13,MV,1686078560
334,pimentel,-6.8367,-79.9342,302.31,58,0,5.66,PE,1686078560
335,noumea,-22.2763,166.4572,293.15,99,86,2.7,NC,1686078561
336,keflavik,64.0049,-22.5624,279.39,75,75,4.63,IS,1686078402
337,macau,22.2006,113.5461,302.0,84,40,5.14,MO,1686078561
338,erenhot,43.6475,111.9767,292.27,45,8,4.76,CN,1686078561
339,georgetown,5.4112,100.3354,300.38,83,20,2.68,MY,1686078300
340,merizo village,13.2658,144.6691,301.46,91,100,5.91,GU,1686078392
341,remire-montjoly,4.9167,-52.2667,303.17,66,0,6.17,GF,1686078389
342,longonjo,-12.9067,15.2533,291.11,40,5,1.68,AO,1686078562
